cod_ofer,ref,projeto,operacao,estado,estado_cod,preco_venda,preco_arrendamento,comissao,comissao_cessao,data_criacao,data_alteracao_estado,agente_gestor,agente_captador,estado_ganho_data,estado_ganho_utilizador,proposta_data,historico_lido
29480962,29480962,,Vender,Eliminado,36,539000,,,0.0,2026-06-22,2026-06-20,218514,218514,,,,sim
29412554,33234169,,Vender,Nao Disponivel,5,240000,,,0.0,2017-09-14,2026-06-12,218514,218514,,,,nao_aplicavel
29412553,33376960,,Vender,Nao Disponivel,5,270000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412552,33433927,,Vender,Nao Disponivel,5,235000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412551,33494928,,Vender,Nao Disponivel,5,280000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412550,33501821,,Vender,Nao Disponivel,5,230000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412549,33505413,,Vender,Nao Disponivel,5,215000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412548,33506027,,Vender,Nao Disponivel,5,225000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412547,33507120,,Vender,Nao Disponivel,5,270000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412546,33507341,,Vender,Nao Disponivel,5,155000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412545,33507987,,Vender,Nao Disponivel,5,102000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412544,33508140,,Vender,Nao Disponivel,5,120000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412543,33510732,,Vender,Nao Disponivel,5,175000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412542,33572126,,Vender,Nao Disponivel,5,175000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412541,33575929,,Vender,Nao Disponivel,5,200000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412540,33576153,,Vender,Nao Disponivel,5,199000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412539,33656453,,Arrendar,Nao Disponivel,5,,1350,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412538,33656566,,Arrendar,Nao Disponivel,5,,1200,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412537,33656607,,Arrendar,Nao Disponivel,5,,2400,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412536,33656694,,Vender,Nao Disponivel,5,330000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412535,33836568,,Arrendar,Nao Disponivel,5,,1300,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412534,33877889,,Arrendar,Nao Disponivel,5,,1400,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412533,33878012,,Arrendar,Nao Disponivel,5,,1250,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412532,33878066,,Arrendar,Nao Disponivel,5,,950,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412531,33891936,,Arrendar,Nao Disponivel,5,,1150,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412530,33894111,,Arrendar,Nao Disponivel,5,,840,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412529,33894119,,Arrendar,Nao Disponivel,5,,1070,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412528,33894205,,Arrendar,Nao Disponivel,5,,1350,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412527,33915916,,Vender,Nao Disponivel,5,215000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412525,33916021,,Vender,Nao Disponivel,5,226000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412524,33916200,,Vender,Nao Disponivel,5,220000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412365,33923012,Riverline,Vender,Disponivel,1,535000,,,0.0,,2026-06-12,218514,218514,,,2026-06-19,sim
29412523,33923131,,Vender,Nao Disponivel,5,430000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412522,33923200,,Vender,Nao Disponivel,5,950000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412521,33931270,,Vender,Nao Disponivel,5,190000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412520,33936578,,Vender,Nao Disponivel,5,250000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412519,33938556,,Vender,Nao Disponivel,5,305000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412518,33938620,,Arrendar,Nao Disponivel,5,,1400,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412517,33939363,,Arrendar,Nao Disponivel,5,,1470,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412516,33955859,,Arrendar,Nao Disponivel,5,,1080,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412515,33956087,,Vender,Nao Disponivel,5,212500,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412514,33958456,,Vender,Nao Disponivel,5,260000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412513,33958792,,Vender,Nao Disponivel,5,320000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412512,33966669,,Vender,Nao Disponivel,5,270000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412511,33984915,,Vender,Nao Disponivel,5,225000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412510,33984986,,Arrendar,Nao Disponivel,5,,1150,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412509,33985109,,Arrendar,Nao Disponivel,5,,1670,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412508,33990308,,Vender,Nao Disponivel,5,238000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412507,34004275,,Vender,Nao Disponivel,5,290000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412506,34006879,,Vender,Nao Disponivel,5,335000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412505,34025645,,Vender,Nao Disponivel,5,129000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412504,34027867,,Arrendar,Nao Disponivel,5,,1250,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412503,34037806,,Arrendar,Nao Disponivel,5,,1020,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412502,34045679,,Vender,Nao Disponivel,5,1200000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412501,34046107,,Vender,Nao Disponivel,5,2200000,,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412500,34048118,,Arrendar,Nao Disponivel,5,,1400,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412499,34048417,,Arrendar,Nao Disponivel,5,,1400,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
29412498,34050342,,Arrendar,Nao Disponivel,5,,1400,,0.0,,2026-06-12,218514,218514,,,,nao_aplicavel
