id_oportunidade,cod_interno,data_criacao,mes,operacao,tipologia,comercial,estado,origem_contacto,imoveis_consultados,tem_visita,projetos
1,40497064,2026-06-15,2026-06,arrendamento,T1,Joana,Cliente do Portal,idealista,"34878517,N1.6,34869552,YR00006,YR00013,YR00059,YR00029,YR00028",0,Jardins da Seara;Prime Living;Douro Nobilis;Magnolia
2,40497500,2026-06-15,2026-06,venda,T0,Sandra,Cliente do Portal,idealista,34674607,0,
3,40497542,2026-06-15,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista,35040352,0,Prime Living
6,40498837,2026-06-15,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista,35073131,0,White Tower
7,40502066,2026-06-15,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista,35073131,0,White Tower
8,40507123,2026-06-16,2026-06,arrendamento,T1,Joana,Cliente do Portal,idealista,"34878517,34869552",0,Jardins da Seara;Douro Nobilis
9,40513307,2026-06-16,2026-06,venda,T2,Sandra,À procura,,,0,
10,40516024,2026-06-16,2026-06,arrendamento,T2,Sandra,Cliente do Portal,idealista,34878363,0,Jardins da Seara
12,40528242,2026-06-17,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,imovirtual.com,34878363,0,Jardins da Seara
13,40530643,2026-06-17,2026-06,arrendamento,T1,Joana,Cliente do Portal,imovirtual.com,34878517,0,Jardins da Seara
16,40535585,2026-06-18,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"34878363,34878450",0,Jardins da Seara
17,40539041,2026-06-18,2026-06,venda,T0,Eugénia,Cliente do Portal,idealista.com,"34674607,34469800",0,
19,40548806,2026-06-18,2026-06,arrendamento,T1,Joana,Cliente do Portal,idealista.com,"34878517,34869552",0,Jardins da Seara;Douro Nobilis
20,40553273,2026-06-19,2026-06,arrendamento,T2,Sandra,À procura,idealista,34878363,0,Jardins da Seara
22,40553709,2026-06-19,2026-06,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,34878517,0,Jardins da Seara
23,40553932,2026-06-19,2026-06,venda,T1,Joana,Cliente do Portal,idealista.com,BL,0,
26,40558046,2026-06-19,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,34878363,0,Jardins da Seara
27,40561636,2026-06-20,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,35040352,0,Prime Living
28,40562759,2026-06-20,2026-06,venda,T1,Sandra,Cliente do Portal,idealista.com,H,0,
30,40565805,2026-06-21,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,34878450,0,Jardins da Seara
31,40566724,2026-06-21,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,35040352,0,Prime Living
32,40567195,2026-06-21,2026-06,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,34878363,0,Jardins da Seara
34,40567697,2026-06-21,2026-06,venda,T3,Eugénia,Cliente do Portal,idealista.com,34840825,0,
35,40567698,2026-06-21,2026-06,venda,T1,Joana,Cliente do Portal,idealista.com,BL,0,
36,40568218,2026-06-21,2026-06,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,"35055141,YR00023",0,Riverline;Jardins da Seara
37,40570193,2026-06-21,2026-06,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,"34878363,35040352",0,Jardins da Seara;Prime Living
39,40570823,2026-06-21,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,35040352,0,Prime Living
40,40571037,2026-06-22,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,34878363,0,Jardins da Seara
41,40571079,2026-06-22,2026-06,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,34878517,0,Jardins da Seara
43,40650525,2026-06-22,2026-06,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,"34878517,34869552",0,Jardins da Seara;Douro Nobilis
44,40651128,2026-06-22,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,35040352,0,Prime Living
45,40653187,2026-06-22,2026-06,venda,T1,Sandra,Cliente do Portal,idealista.com,"H,BL",0,
47,40662588,2026-06-23,2026-06,arrendamento,T1,Eugénia,Cliente do Portal,imovirtual.com,34878517,0,Jardins da Seara
48,40662957,2026-06-23,2026-06,venda,T1,Joana,Cliente do Portal,idealista.com,H,0,
49,40666381,2026-06-24,2026-06,venda,T1,Sandra,Cliente do Portal,idealista.com,BL,0,
51,40668551,2026-06-24,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"35040352,34878450",0,Prime Living;Jardins da Seara
52,40669599,2026-06-24,2026-06,venda,T2,Joana,Cliente do Portal,idealista.com,34957181,0,Jardins da Seara
53,40670198,2026-06-24,2026-06,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,N1.6,0,Prime Living
55,40671762,2026-06-24,2026-06,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,N1.6,0,Prime Living
56,40673045,2026-06-24,2026-06,arrendamento,T1,Joana,Cliente do Portal,idealista.com,N1.6,0,Prime Living
57,40673877,2026-06-24,2026-06,venda,T1,Sandra,Cliente do Portal,idealista.com,BL,0,
59,40674831,2026-06-24,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"35040352,34878363",0,Prime Living;Jardins da Seara
60,40674941,2026-06-24,2026-06,arrendamento,T1,Joana,Cliente do Portal,imovirtual.com,34869552,0,Douro Nobilis
63,40677686,2026-06-25,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"35040352,YR00006",0,Prime Living
64,40682091,2026-06-25,2026-06,arrendamento,T1,Joana,Cliente do Portal,idealista.com,N1.6,0,Prime Living
68,40685651,2026-06-25,2026-06,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,N1.6,0,Prime Living
69,40686674,2026-06-25,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,35040352,0,Prime Living
70,40690063,2026-06-26,2026-06,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,N1.6,0,Prime Living
72,40691987,2026-06-26,2026-06,venda,T1,Eugénia,Cliente do Portal,idealista.com,BL,0,
73,40692181,2026-06-26,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,35055141,0,Riverline
74,40698386,2026-06-27,2026-06,arrendamento,T1,Joana,Cliente do Portal,idealista.com,35040552,0,Douro Nobilis
75,40699164,2026-06-27,2026-06,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,35018926,0,
77,40704499,2026-06-28,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,35055141,0,Riverline
78,40705825,2026-06-28,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,34878363,0,Jardins da Seara
81,40714317,2026-06-29,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"35040352,35073131,YR00006",0,Prime Living;White Tower
85,40722190,2026-06-29,2026-06,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,35040352,0,Prime Living
86,40724175,2026-06-30,2026-06,arrendamento,T1,Joana,Cliente do Portal,idealista.com,"N1.6,34869552,34878517",0,Prime Living;Douro Nobilis;Jardins da Seara
88,40736267,2026-06-30,2026-06,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,N1.6,0,Prime Living
89,40736800,2026-06-30,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,35040352,0,Prime Living
90,40737377,2026-06-30,2026-06,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,34878363,0,Jardins da Seara
92,40746664,2026-06-30,2026-06,arrendamento,T1,Eugénia,Cliente do Portal,imovirtual.com,34878517,0,Jardins da Seara
93,40746665,2026-06-30,2026-06,arrendamento,T2,Joana,Cliente do Portal,idealista.com,"35040352,YR00006",0,Prime Living
94,40749181,2026-06-30,2026-06,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,"35040352,34878450,35073131,34878363",0,Prime Living;Jardins da Seara;White Tower
97,40773922,2026-07-02,2026-07,venda,T1,Sandra,Cliente do Portal,,,0,
98,40775735,2026-07-02,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,"N1.6,34878517",0,Prime Living;Jardins da Seara
100,40778553,2026-07-02,2026-07,arrendamento,T1,Sandra,Cliente do Portal,,,0,
101,40787231,2026-07-03,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,N1.6,0,Prime Living
102,40787744,2026-07-03,2026-07,arrendamento,T3,Joana,Cliente do Portal,idealista.com,35030596,0,Riverline
103,40788138,2026-07-03,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,35073131,0,White Tower
105,40790915,2026-07-03,2026-07,arrendamento,T1,Eugénia,Cliente do Portal,idealista.com,"N1.6,35040352",0,Prime Living
106,40792694,2026-07-04,2026-07,arrendamento,T3,Joana,Cliente do Portal,idealista.com,"34981289,35055141",0,Riverline
109,40797897,2026-07-04,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,imovirtual.com,35073131,0,White Tower
110,40801296,2026-07-05,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,"34878363,YR00024",0,Jardins da Seara
113,40804525,2026-07-06,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,idealista.com,"34878450,35040352,YR00022,35030596,YR00006",0,Jardins da Seara;Prime Living;Riverline
114,40804568,2026-07-06,2026-07,arrendamento,T2,Joana,Cliente do Portal,idealista.com,35073131,0,White Tower
115,40811037,2026-07-06,2026-07,arrendamento,T2,Sandra,Cliente do Portal,idealista.com,34878450,0,Jardins da Seara
117,40831302,2026-07-06,2026-07,venda,T1,Eugénia,Cliente do Portal,idealista.com,YR00017,0,Oporto Luxury
119,40833730,2026-07-06,2026-07,venda,T1,Joana,Cliente do Portal,idealista.com,YR00017,0,Oporto Luxury
120,40835119,2026-07-07,2026-07,arrendamento,T2,Eugénia,Cliente do Portal,imovirtual.com,YR00016,0,Santos Pousada
121,40835312,2026-07-07,2026-07,arrendamento,T1,Joana,Cliente do Portal,idealista.com,N1.6,0,Prime Living
122,40842333,2026-07-07,2026-07,arrendamento,T1,Sandra,Cliente do Portal,idealista.com,"N1.6,34878517",0,Prime Living;Jardins da Seara
